Ost;Nord;PLZ;Gemeinde;Dorf;Strasse;Hausnummer
60547.84;382865.20;4184;Afiesl;Koeckendorf;Koeckendorf;1
60433.52;383039.60;4184;Afiesl;Koeckendorf;Koeckendorf;2
60477.98;382913.65;4184;Afiesl;Koeckendorf;Koeckendorf;3
60504.60;382930.40;4184;Afiesl;Koeckendorf;Koeckendorf;4
60506.52;382891.15;4184;Afiesl;Koeckendorf;Koeckendorf;5
60572.72;382835.43;4184;Afiesl;Koeckendorf;Koeckendorf;6
60792.55;382836.71;4184;Afiesl;Koeckendorf;Koeckendorf;7
60824.78;382802.83;4184;Afiesl;Koeckendorf;Koeckendorf;8
60069.40;382753.70;4184;Afiesl;Koeckendorf;Koeckendorf;9
60069.40;382753.70;4184;Afiesl;Koeckendorf;Koeckendorf;9
60680.92;382722.02;4184;Afiesl;Koeckendorf;Koeckendorf;10
60732.81;382654.82;4184;Afiesl;Koeckendorf;Koeckendorf;11
60687.24;382653.87;4184;Afiesl;Koeckendorf;Koeckendorf;12
60682.38;382605.54;4184;Afiesl;Koeckendorf;Koeckendorf;13
60672.41;382490.82;4184;Afiesl;Koeckendorf;Koeckendorf;14
60634.41;382527.48;4184;Afiesl;Koeckendorf;Koeckendorf;15
61036.17;381818.71;4184;Afiesl;Koeckendorf;Koeckendorf;16
61029.95;381854.48;4184;Afiesl;Koeckendorf;Koeckendorf;17
60867.19;381677.39;4184;Afiesl;Koeckendorf;Koeckendorf;19
61024.24;381506.44;4184;Afiesl;Koeckendorf;Koeckendorf;23
60906.69;381475.79;4184;Afiesl;Koeckendorf;Koeckendorf;24
60883.90;381104.65;4184;Afiesl;Koeckendorf;Koeckendorf;25
61272.96;383808.88;4184;Afiesl;Koeckendorf;Koeckendorf;28
61313.39;382502.58;4184;Afiesl;Koeckendorf;Koeckendorf;29
61632.00;383281.00;4184;Afiesl;Koeckendorf;Koeckendorf;30
61210.73;383718.45;4184;Afiesl;Koeckendorf;Koeckendorf;31
61024.21;382839.53;4184;Afiesl;Koeckendorf;Koeckendorf;33
60851.92;381749.79;4184;Afiesl;Koeckendorf;Koeckendorf;34
60641.73;383197.81;4184;Afiesl;Koeckendorf;Koeckendorf;35
60897.52;381715.50;4184;Afiesl;Koeckendorf;Koeckendorf;39
60863.45;381161.17;4184;Afiesl;Koeckendorf;Koeckendorf;40
60976.75;380988.00;4184;Afiesl;Koeckendorf;Koeckendorf;42
60547.39;382479.55;4184;Afiesl;Koeckendorf;Koeckendorf;43
60590.99;382507.41;4184;Afiesl;Koeckendorf;Koeckendorf;44
60827.65;381616.37;4184;Afiesl;Koeckendorf;Koeckendorf;45
60515.43;382515.47;4184;Afiesl;Koeckendorf;Koeckendorf;46
60484.38;382512.20;4184;Afiesl;Koeckendorf;Koeckendorf;81
60685.58;382775.42;4184;Afiesl;Koeckendorf;Koeckendorf;130
60626.76;382823.59;4184;Afiesl;Koeckendorf;Koeckendorf;133
60796.59;382773.62;4184;Afiesl;Koeckendorf;Koeckendorf;135
60487.24;382879.93;4184;Afiesl;Koeckendorf;Koeckendorf;136
60707.00;382673.00;4184;Afiesl;Koeckendorf;Koeckendorf;137
58849.94;382256.37;4184;Afiesl;Neuschlag;Neuschlag;1
58893.79;382159.06;4184;Afiesl;Neuschlag;Neuschlag;2
58808.51;382025.98;4184;Afiesl;Neuschlag;Neuschlag;3
58819.95;381981.17;4184;Afiesl;Neuschlag;Neuschlag;3
58837.82;381923.25;4184;Afiesl;Neuschlag;Neuschlag;4
58821.96;381842.77;4184;Afiesl;Neuschlag;Neuschlag;5
58794.21;381740.78;4184;Afiesl;Neuschlag;Neuschlag;6
58952.27;381734.86;4184;Afiesl;Neuschlag;Neuschlag;7
58874.84;381571.45;4184;Afiesl;Neuschlag;Neuschlag;8
58919.53;381549.87;4184;Afiesl;Neuschlag;Neuschlag;9
58841.55;381379.72;4184;Afiesl;Neuschlag;Neuschlag;10
58839.67;381352.74;4184;Afiesl;Neuschlag;Neuschlag;11
58871.17;381275.23;4184;Afiesl;Neuschlag;Neuschlag;12
58888.65;381174.42;4184;Afiesl;Neuschlag;Neuschlag;13
58718.46;381037.44;4184;Afiesl;Neuschlag;Neuschlag;14
58640.27;380950.62;4184;Afiesl;Neuschlag;Neuschlag;15
58663.04;380942.62;4184;Afiesl;Neuschlag;Neuschlag;15
58697.05;380798.48;4184;Afiesl;Neuschlag;Neuschlag;16
58704.23;380722.37;4184;Afiesl;Neuschlag;Neuschlag;17
58681.21;380514.31;4184;Afiesl;Neuschlag;Neuschlag;18
58937.21;380664.51;4184;Afiesl;Neuschlag;Neuschlag;19
58985.05;380613.63;4184;Afiesl;Neuschlag;Neuschlag;20
59064.00;380584.00;4184;Afiesl;Neuschlag;Neuschlag;21
58879.09;381245.63;4184;Afiesl;Neuschlag;Neuschlag;27
58656.03;380461.81;4184;Afiesl;Neuschlag;Neuschlag;28
58953.67;380644.98;4184;Afiesl;Neuschlag;Neuschlag;29
59316.95;380867.56;4184;Afiesl;Neuschlag;Neuschlag;30
58792.39;380745.25;4184;Afiesl;Neuschlag;Neuschlag;31
59229.61;380509.27;4184;Afiesl;Neuschlag;Neuschlag;32
58652.37;380689.15;4184;Afiesl;Neuschlag;Neuschlag;33
58680.71;380991.39;4184;Afiesl;Neuschlag;Neuschlag;41
58867.24;382287.06;4184;Afiesl;Neuschlag;Neuschlag;42
58664.52;380830.16;4184;Afiesl;Neuschlag;Neuschlag;43
58862.52;381797.34;4184;Afiesl;Neuschlag;Neuschlag;44
58840.63;382094.89;4184;Afiesl;Neuschlag;Neuschlag;45
58842.19;382127.40;4184;Afiesl;Neuschlag;Neuschlag;46
59006.79;380645.03;4184;Afiesl;Neuschlag;Neuschlag;48
58998.27;380678.83;4184;Afiesl;Neuschlag;Neuschlag;49
58890.00;381809.00;4184;Afiesl;Neuschlag;Neuschlag;50
59065.14;382890.84;4170;Afiesl;Oberafiesl;Oberafiesl;1
59027.61;382909.45;4170;Afiesl;Oberafiesl;Oberafiesl;2
58924.00;382576.00;4170;Afiesl;Oberafiesl;Oberafiesl;3
58680.63;382610.52;4170;Afiesl;Oberafiesl;Oberafiesl;4
58680.63;382610.52;4170;Afiesl;Oberafiesl;Oberafiesl;4
58675.22;382370.48;4170;Afiesl;Oberafiesl;Oberafiesl;5
58657.73;382398.13;4170;Afiesl;Oberafiesl;Oberafiesl;6
58932.21;383038.21;4170;Afiesl;Oberafiesl;Oberafiesl;7
58932.21;383038.21;4170;Afiesl;Oberafiesl;Oberafiesl;7
58710.56;383021.52;4170;Afiesl;Oberafiesl;Oberafiesl;8
58602.78;382954.12;4170;Afiesl;Oberafiesl;Oberafiesl;9
58569.64;382942.93;4170;Afiesl;Oberafiesl;Oberafiesl;10
58520.81;382909.03;4170;Afiesl;Oberafiesl;Oberafiesl;11
58856.17;383040.66;4170;Afiesl;Oberafiesl;Oberafiesl;12
58377.06;382938.92;4170;Afiesl;Oberafiesl;Oberafiesl;13
58306.63;382830.75;4170;Afiesl;Oberafiesl;Oberafiesl;14
58238.90;383027.70;4170;Afiesl;Oberafiesl;Oberafiesl;15
58154.21;383017.22;4170;Afiesl;Oberafiesl;Oberafiesl;16
58054.37;383538.91;4170;Afiesl;Oberafiesl;Oberafiesl;17
58032.89;383593.63;4170;Afiesl;Oberafiesl;Oberafiesl;18
57973.04;383601.82;4170;Afiesl;Oberafiesl;Oberafiesl;19
57691.26;383056.45;4170;Afiesl;Oberafiesl;Oberafiesl;20
